task_id,question,choices,answer
k10191,"Question: What value does the variable x have after ALL of the code above executes?
int x;
int y;
int z;
x=3;
y=4;
z = ++x * y++;
['2', '3', '4', 'unknown/undefined']

Answer: ","['2', '3', '4', 'unknown/undefined']",C
k10194,"Question: What will be output of the following C code?
#‎include‬ <stdio.h>
int main()
{
    int x=4, y, z;
    y = --x;
    z = x--;
    printf(""%d, %d, %d\n"", x, y, z);
    return 0;
}
['4,3,3', '3,3,3', '2,3,3', '4,4,3']

Answer: ","['4,3,3', '3,3,3', '2,3,3', '4,4,3']",C
k10195,"Question: What will be output of the following C code?
#include <stdio.h>
main()
{
    int a=1, b=3;
    b= a++ + a++ + a++ + a++ + a++;
    printf(""a=%d \n b=%d"",a,b); 
}
['a = 6, b = 15', 'a = 1, b = 3', 'a = 1, b = 15', 'a = 2, b = 4']

Answer: ","['a = 6, b = 15', 'a = 1, b = 3', 'a = 1, b = 15', 'a = 2, b = 4']",A
k10196,"Question: What will be output of the following C code?
#include <stdio.h>
main()
{
    int a=9, b=9;
    a=b++;
    b=a++;
    b=++b; 
    printf(""%d %d"",a,b);
}
['9,9', '10,10', '9,10', '10,9']

Answer: ","['9,9', '10,10', '9,10', '10,9']",B
k10197,"Question: What will be output of the following C code?
#include <stdio.h>
main()
{  
     int a,b;
     b = 10;
     a = ++b + ++b;
     printf(""%d%d"",a,b);
}
['24,12', '23,12', '23,10', '24,10']

Answer: ","['24,12', '23,12', '23,10', '24,10']",B
k10199,"Question: What does the following declaration mean?
 int (*a)[10] a
['Pointer to an array', 'None of the mentioned', 'Array of 10 integers', 'Pointer to an array & Array of 10 integers']

Answer: ","['Pointer to an array', 'None of the mentioned', 'Array of 10 integers', 'Pointer to an array & Array of 10 integers']",A
k10200,"Question: What is the meaning of the following declaration?
Int arr[20]
['Integer Array of size 20', 'None of the mentioned', 'Array of size 20', 'Array of size 20 that can have higher integer address']

Answer: ","['Integer Array of size 20', 'None of the mentioned', 'Array of size 20', 'Array of size 20 that can have higher integer address']",A
k10210,"Question: Select the output for following set of code.
static void Main(string[] args)
{
    int i = 2, j = 4;
    switch (i + j * 2)
    {
        case 1 :
        case 2 :
            Console.WriteLine(""1 and 2"");
            break;
        case 3 to 10:
            Console.WriteLine(""3 to 10"");
            break;
    }
    Console.ReadLine();
}
['3 to 10 will be printed', '1 and 2 will be printed', 'error', 'The code gives output as 3 to 10']

Answer: ","['3 to 10 will be printed', '1 and 2 will be printed', 'error', 'The code gives output as 3 to 10']",C
k10212,"Question: Select output for following set of code.
static void Main(string[] args)
{
     int const p = 0;
     switch (3 * 5 / 6)
     {
         case p: 
             Console.WriteLine(""A"");
             break;
         case p * 1:
             Console.WriteLine(""B"");
             break;
         case p - 2:
             Console.WriteLine(""C"");
             break;
         default: 
             Console.WriteLine(""D"");
       }
}
['A', 'B', 'C', 'Compile time error']

Answer: ","['A', 'B', 'C', 'Compile time error']",D
k10213,"Question: Select output for following set of code.
static void Main(string[] args)
{
    int i = 2, j = 3, k = 4;
    switch (i + j - k)
    {
        case 0: case 2: case 4:
            ++i;
            k += j;
            break;
        case 1: case 3: case 5 :
            --i;
            k -= j;
            break;
        default:
            i += j;
            break;
     }
     Console.WriteLine(i + ""\n"" + j + ""\n"" + k);
     Console.ReadLine();
}
['1 3 1', '2 3 4', '5 3 4', 'Compile time error']

Answer: ","['1 3 1', '2 3 4', '5 3 4', 'Compile time error']",A
k10214,"Question: Select the output for following set of code.
static void Main(string[] args)
{
    int  i = 9 , j = 7;
    switch (i - j + 3)
    {
        case 9: 7:
            j += 6;
            break;
        case 5:
            i -= 4;
            break;
    }
    Console.WriteLine(i + ""\n"" + j);
    Console.ReadLine();
  }
['5 7', '9 13', 'Compile time error', '9 7']

Answer: ","['5 7', '9 13', 'Compile time error', '9 7']",C
k10216,"Question: Select output for code.
static void Main(string[] args)
{
    int i;
    int j = 1;
    int []ar = {21, 22, 13, 4};
    switch (ar[j])
    {
        case 1:
            i++;
            break;
        case 2:
            i += 2;
            j = 3;
            continue;
        case 3: 
           i %= 2;
           j = 4;
           continue;
        default: 
           --i;
    }
    Console.WriteLine(i);
    Console.ReadLine();
}
['23', '15', 'Compile time error', '12']

Answer: ","['23', '15', 'Compile time error', '12']",C
k10218,"Question: Select the output for following set of Code.
static void Main(string[] args)
{
    char ch = 'p';
    switch (ch)
    {
        case 'p':
            Console.WriteLine(""coco"" + ""\t"" + Convert.ToInt32(ch));
            break;
        default:
            Console.WriteLine(""default"");
            break; 
     }
     Console.WriteLine(""main"");
}
['coco main', 'coco 112', 'coco 112 main', 'compile time error']

Answer: ","['coco main', 'coco 112', 'coco 112 main', 'compile time error']",C
k10220,"Question: Consider the following C program. What is the Value of a?
#include<stdio.h>
int main()
{
    int a=7, b=5;
    switch(a = a % b)
    {
        case 1:
            a = a - b;
        case 2:
            a = a + b;
        case 3:
            a = a * b;
        case 4:
            a = a / b;
        default:
            a = a;
    }
return 0;
}
['7', '5', '9', 'None of the mentioned']

Answer: ","['7', '5', '9', 'None of the mentioned']",A
k10221,"Question: What will be the output of the following Code?
void main()
{
    static a,b;
    while(a > b++)
}
['a=0 b=0', 'a=0 b=0', 'a=1 b=1', 'none of the mentioned']

Answer: ","['a=0 b=0', 'a=0 b=0', 'a=1 b=1', 'none of the mentioned']",A
k10224,"Question: What would be the current working directory at the end of the following command sequence?
 $ pwd
 /home/user1/proj
 $ cd  src
 $ cd  generic
 $ cd  .
 $ pwd
['/home/user1/proj', '/home/user1/proj/src', '/home/user1', '/home/user1/proj/src/generic']

Answer: ","['/home/user1/proj', '/home/user1/proj/src', '/home/user1', '/home/user1/proj/src/generic']",ANSWER: C
k10226,"Question: What is the return value ($?) of this code:
os = Unix
[$osName = UnixName] && exit 2
[${os}Name = UnixName] && exit 3
['0', '1', '2', '3']

Answer: ","['0', '1', '2', '3']",ANSWER: B
k10228,"Question: The following commands gives the output like this
    #cat file1 file2
    #cat: file1: No such file or directory
    hello
    If we execute the command “cat file1 file2  1>2  2>&1” the output would be
['cat: file1: No such file or directory hello', 'No output is displayed', 'Cat: 1>2: No such file or directory', 'hello']

Answer: ","['cat: file1: No such file or directory hello', 'No output is displayed', 'Cat: 1>2: No such file or directory', 'hello']",ANSWER: B
k10230,"Question: What is the output of this program?
   #!/bin/sh	   var=""Sanfoundry""   san_function() {       var=""Linux""       echo $var   }   san_function   exit 0
['Sanfoundry', 'Linux', 'Command not found', 'None of the mentioned']

Answer: ","['Sanfoundry', 'Linux', 'Command not found', 'None of the mentioned']",ANSWER: B
k10235,"Question: What is the output of this program?
   #!/bin/bash   san_var=hello   readonly san_var   san_var=hi   echo $san_var   exit 0
['hello', 'hi', 'nothing will print', 'none of the mentioned']

Answer: ","['hello', 'hi', 'nothing will print', 'none of the mentioned']",ANSWER: D
k10236,"Question: What is the output of this program?
    #!/bin/bash    san_var=10    echo ""the value of \""san_var\"" is $san_var""      exit 0
['the value of “san_var” is 10', 'the value of is 10', 'the value of san_var is $san_var', 'the value of “san_var” is $san_var']

Answer: ","['the value of “san_var” is 10', 'the value of is 10', 'the value of san_var is $san_var', 'the value of “san_var” is $san_var']",ANSWER: A
k10240,"Question: What is the output of this program?
   #!/bin/bash   a=10   b=$(( $a<0&&$a<100 ))   echo $b   exit 0
['10', '0', '1', 'none of the mentioned']

Answer: ","['10', '0', '1', 'none of the mentioned']",ANSWER: B
k10243,"Question: After running this program, as your press 4, what will be the output of the program?
   #!/bin/bash   echo ""How many times you want to print 'Sanfoundry'""   read value   for ((i=0;i<$value;i++))   do   echo ""Sanfoundry"";   done   exit 0
['‘Sanfoudry’ will print 4 times', '‘Sanfoudry’ will print 3 times', '‘Sanfoudry’ will print 5 times', 'Program will generate an error message']

Answer: ","['‘Sanfoudry’ will print 4 times', '‘Sanfoudry’ will print 3 times', '‘Sanfoudry’ will print 5 times', 'Program will generate an error message']",ANSWER: A
k10244,"Question: What is the output of this program?
   #!/bin/bash   for i in 2 3 7   do   echo ""Sanfoundry""   done   exit 0
['‘Sanfoundry’ will print 3 times', 'Nothing will print', 'Program will generate an error message', 'None of the mentioned']

Answer: ","['‘Sanfoundry’ will print 3 times', 'Nothing will print', 'Program will generate an error message', 'None of the mentioned']",ANSWER: A
k10245,"Question: How can you come out of the loop in this program?
   #!/bin/bash   read x   while [ $x != ""hello"" ]   do    echo ""Try to come out of the loop""   read x   done   echo ""Welcome""   exit 0
['by entering “hello”', 'by entering anything except “hello”', 'it is not possible', 'none of the mentioned']

Answer: ","['by entering “hello”', 'by entering anything except “hello”', 'it is not possible', 'none of the mentioned']",ANSWER: A
k10246,"Question: What is the output of this program?
   #!/bin/bash   echo ""Which file do you want to check""   read x   until [ -e $x ]   do    echo ""The file does not exist. Do you want to create? y/n""   read a   if [ $a = y ]; then     touch $x   echo ""Your file has been created successfully.""   fi   done   echo ""The file is present in this directory""   exit 0
['it checks the existance of your entered file in the present working directory', 'it creates the file if file does not exists', 'program runs untill you create the file', 'all of the mentioned']

Answer: ","['it checks the existance of your entered file in the present working directory', 'it creates the file if file does not exists', 'program runs untill you create the file', 'all of the mentioned']",ANSWER: D
k10247,"Question: After running this program, if you enter 1000, then what will be the output of the program?
	#!/bin/bash	echo ""Please enter a number""	read a	if [ $a -lt 100 ]; then	echo ""It is less than 100""; 	elif [ $a -lt 1000 ]; then	echo ""It is less than 1000""	else 	echo ""It is greater than 1000""	fi	exit 0
['It is greater than 1000', 'It is less then 1000', 'It is equal to 1000', 'None of then mentioned']

Answer: ","['It is greater than 1000', 'It is less then 1000', 'It is equal to 1000', 'None of then mentioned']",ANSWER: A
k10258,"Question: What is the output of this program?
   #! /usr/bin/awk -f   BEGIN {       print log(1)   }
['0', 'syntax error', 'fatal error', 'segmentation fault']

Answer: ","['0', 'syntax error', 'fatal error', 'segmentation fault']",ANSWER: A
k10259,"Question: What is the output of this program?
   #! /usr/bin/awk -f   BEGIN {       print index(""sanfoundry"",""linux"")   }
['sanfoundry linux', 'sanfoundry', '0', 'none of the mentioned']

Answer: ","['sanfoundry linux', 'sanfoundry', '0', 'none of the mentioned']",ANSWER: C
k10261,"Question: What is the output of the program?
   #! /usr/bin/awk -f   BEGIN {       a=int(2.5)       print (a*20)   }
['50', '40', 'a*20', 'syntax error']

Answer: ","['50', '40', 'a*20', 'syntax error']",ANSWER: B
k10262,"Question: What is the output of the program?
    #! /usr/bin/awk -f    BEGIN {       print toupper(""sAnFoUnDrY_1_$"")    }
['SANFOUNDRY_1_$', 'sAnFoUnDrY 1 $', 'SaNfOuNdRy_1_$', 'SANFOUNDRY']

Answer: ","['SANFOUNDRY_1_$', 'sAnFoUnDrY 1 $', 'SaNfOuNdRy_1_$', 'SANFOUNDRY']",ANSWER: A
k10263,"Question: What is the output of the program?
   #! /usr/bin/awk -f   #This filename is text.awk   BEGIN {       print FILENAME   }
['test.awk', 'program will print nothing', 'syntax error', 'fatal error']

Answer: ","['test.awk', 'program will print nothing', 'syntax error', 'fatal error']",ANSWER: B
k10273,"Question: Code snippets
    str1=”45678\n”
    str2=”123\n”
    f1 = fopen(file1,RDWR,RWX)
    f2 = dup(f1)
    write(f1,str1,len_str1)
    write(f2,str2,len_str2)
 
    o/p:
['12378', '123(newline)8(newline)', '123(newline)78(newline)', '45678(newline)123(newline)']

Answer: ","['12378', '123(newline)8(newline)', '123(newline)78(newline)', '45678(newline)123(newline)']",ANSWER: D
k10275,"Question: What is the output of the below code?
    void sig_handler ( int signum) {
        printf(“Handled the signal\n”);
    }
 
    int main() {
        int pid;
        signal (SIGKILL, sig_handler);
        pid = fork();
        if (pid==0) {
            kill(getppid(), SIGKILL);
            exit(0);
        } else {
            sleep(20);
        }
        return 0;
    }
['Error child cannot send a SIGKILL signal to parent', 'Parent goes to the signal handler, prints handled the signal and goes back to sleep', 'Parent goes to the signal handler, prints handled the signal and exits', 'Parent exits without going to the signal handler']

Answer: ","['Error child cannot send a SIGKILL signal to parent', 'Parent goes to the signal handler, prints handled the signal and goes back to sleep', 'Parent goes to the signal handler, prints handled the signal and exits', 'Parent exits without going to the signal handler']",ANSWER: D
k10276,"Question: What is the output of this program?
   #include<stdio.h>    int main()   {       int *ptr;       ptr = (int *)calloc(1,sizeof(int));       *ptr = 10;       printf(""%d\n"",*ptr);       return 0;   }
['0', '-1', '10', 'none of the mentioned']

Answer: ","['0', '-1', '10', 'none of the mentioned']",ANSWER: D
k10277,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>    int main()   {       int *ptr;       *ptr = 10;       *ptr = 20;       printf(""%d\n"",*ptr);       return 0;   }
['10', '20', 'segmentation fault', 'none of the mentioned']

Answer: ","['10', '20', 'segmentation fault', 'none of the mentioned']",ANSWER: C
k10279,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>    int main()   {        int *ptr1;       while(1){           ptr1 = malloc(1024*1024);           if(ptr1 == 0)               break;           sleep(1);           printf(""Sanfoundry\n"");           free(ptr1);       }		       return 0;   }
['it will print “Sanfoundry” until the process has been stopeed by any signal', 'it will print nothing', 'segmentation fault', 'none of the mentioned']

Answer: ","['it will print “Sanfoundry” until the process has been stopeed by any signal', 'it will print nothing', 'segmentation fault', 'none of the mentioned']",ANSWER: A
k10280,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>    int main()   {       int ret;       int *ptr;       ptr = (int *)malloc(sizeof(int)*10);       free(ptr);       free(ptr);       return 0;   }
['it will print nothing', 'it will give segmentaion fault', 'undefined behaviour', 'none of the mentioned']

Answer: ","['it will print nothing', 'it will give segmentaion fault', 'undefined behaviour', 'none of the mentioned']",ANSWER: C
k10284,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>    int main()   {       int *ptr;       ptr = (int *)malloc(sizeof(int));       printf(""%d\n"",*ptr);       return 0;   }
['4', '-1', 'undefined', 'none of the mentioned']

Answer: ","['4', '-1', 'undefined', 'none of the mentioned']",ANSWER: C
k10285,"Question: In this program the allocated memory block can store
    #include<stdio.h>    #include<stdlib.h>     int main()    {        int *ptr;        ptr = malloc(10);        return 0;    }
['int', 'char', 'float', 'all of the mentioned']

Answer: ","['int', 'char', 'float', 'all of the mentioned']",ANSWER: D
k10286,"Question: This program will allocate the memory of ___ bytes for pointer “ptr”.
   #include<stdio.h>   #include<stdlib.h>    int main()   {       int *ptr;       ptr = realloc(0,sizeof(int)*10);       return 0;   }
['0', '10', '40', 'none of the mentioned']

Answer: ","['0', '10', '40', 'none of the mentioned']",ANSWER: C
k10287,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>    int main()   {	   char *ptr;       free(ptr);       return 0	      }
['this program will print nothing after execution', 'segmentation fault', 'Aborted (core dumped)', 'none of the mentioned']

Answer: ","['this program will print nothing after execution', 'segmentation fault', 'Aborted (core dumped)', 'none of the mentioned']",ANSWER: C
k10288,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>   struct st{       int a;       char b;   };    int main()   {       struct st *st_ptr;       st_ptr = malloc(sizeof(struct st));       printf(""%d\n"",sizeof(struct st));       return 0;   }
['8', '5', '0', 'none of the mentioned']

Answer: ","['8', '5', '0', 'none of the mentioned']",ANSWER: A
k10292,"Question: Which one of the following in true about this program?
   #include<stdio.h>   #include<stdlib.h>   #include<string.h>                                  int main()   {       char *ptr;       printf(""%p\n"",ptr);       ptr = (char *)malloc(sizeof(char));       printf(""%p\n"",ptr);       return 0;   }
['this program will give segmentation fault', 'this program will print two same values', 'this program has some syntax error', 'none of the mentioned']

Answer: ","['this program will give segmentation fault', 'this program will print two same values', 'this program has some syntax error', 'none of the mentioned']",ANSWER: D
k10293,"Question: In this program the two printed memory locations has the difference of ___ bytes.
   #include<stdio.h>   #include<stdlib.h>    int main()   {       int *ptr;       ptr = (int*)malloc(sizeof(int)*2);       printf(""%p\n"",ptr);       printf(""%p\n"",ptr+1);       return 0;   }
['1', '4', 'can not be determined', 'none of the mentioned']

Answer: ","['1', '4', 'can not be determined', 'none of the mentioned']",ANSWER: B
k10295,"Question: What is the output of this program?
    #include<stdio.h>    #include<stdlib.h>    #include<string.h>                                   int main()    {        int ptr;        ptr = (int)malloc(sizeof(int)*10);        return 0;    }
['syntax error', 'segmentaion fault', 'run time error', 'none of the mentioned']

Answer: ","['syntax error', 'segmentaion fault', 'run time error', 'none of the mentioned']",ANSWER: D
k10298,"Question: What is the output of this program?
   #include<stdio.h>   #include<fcntl.h>    int main()   {            int fd, count;       fd = open(""san.c"",O_RDONLY);       count = write(fd,""Linux"",5);       if(count != 5)           perror(""write"");       return 0;   }
['it will write the string “Linux” in the beginning of source file “san.c”', 'it will write the string “Linux” in the end of the source file “san.c”', 'segmentation fault', 'none of the mentioned']

Answer: ","['it will write the string “Linux” in the beginning of source file “san.c”', 'it will write the string “Linux” in the end of the source file “san.c”', 'segmentation fault', 'none of the mentioned']",ANSWER: D
k10299,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>   #include<fcntl.h>    int main()   {       int fd, count;       char ch, *buff;       buff = (char *)malloc(sizeof(char)*10);       fd = open(""san.c"",O_RDONLY);       count = read(fd,buff,5);       printf(""%d\n"",count);       return 0;   }
['5', '10', '0', '-1']

Answer: ","['5', '10', '0', '-1']",ANSWER: A
k10300,"Question: In the output of this program, the string “/* Linux */” will be added at the ____ of the source file.
   #include<stdio.h>   #include<stdlib.h>   #include<fcntl.h>    int main()   {       int fd;       fd = open(""san.c"",O_RDWR|O_APPEND);       write(fd,""/* Linux */"",11);       return 0;   }
['end', 'beginning', 'second line', 'third line']

Answer: ","['end', 'beginning', 'second line', 'third line']",ANSWER: A
k10301,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>   #include<fcntl.h>    int main()   {       int fd;       char *buff;       buff = (char *)malloc(sizeof(char)*5);       fd = open(""sanfoundry.txt"",O_RDWR|O_CREAT);        write(fd,""Linux"",5);       read(fd,buff,5);       printf(""%s\n"",buff);   }
['it will print nothing', 'it will print the string “Linux”', 'segmentation fault', 'none of the mentioned']

Answer: ","['it will print nothing', 'it will print the string “Linux”', 'segmentation fault', 'none of the mentioned']",ANSWER: A
k10304,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>   #include<fcntl.h>    int main()   {       int fd, new_fd;       char *buff;       buff = (char *)malloc(sizeof(char)*8);       fd = open(""san.c"",O_RDONLY);       new_fd = dup(fd);       close(fd);       read(new_fd,buff,8);       printf(""%s\n"",buff);   }
['this program will not print anything', 'this program will print “#include”', 'this program will give the segmentation fault', 'this program will give the syntax error']

Answer: ","['this program will not print anything', 'this program will print “#include”', 'this program will give the segmentation fault', 'this program will give the syntax error']",ANSWER: B
k10307,"Question: What is the output of this program?
   #include<stdio.h>   #include<unistd.h>    int main()   {       pid_t child;       child = fork();       printf(""%d\n"",child);       return 0;   }
['it will print “0”', 'it will print the PID of the child process', 'it will print “0” & the PID of the child process', 'none of the mentioned']

Answer: ","['it will print “0”', 'it will print the PID of the child process', 'it will print “0” & the PID of the child process', 'none of the mentioned']",ANSWER: C
k10310,"Question: What is the output of this program?
   #include<stdio.h>   #include<stdlib.h>   #include<unistd.h>    int main()   {       pid_t child;       int a, status;       a = 10;       child = fork();       switch(child){           case -1 :               perror(""fork"");               exit(1);           case 0 :               printf(""%d\n"",a);               break;           default :               wait(&status);               break;       }       return 0;   }
['10', 'garbage value', 'segmentation fault', 'program will give an error because variable “a” is not defined in child process']

Answer: ","['10', 'garbage value', 'segmentation fault', 'program will give an error because variable “a” is not defined in child process']",ANSWER: A
k10314,"Question: This program will create ____ child processes?
   #include<stdio.h>   #include<unistd.h>    int main()   {       fork();       fork();       fork();       printf(""Sanfoundry\n"");       return 0;   }
['3', '5', '7', '9']

Answer: ","['3', '5', '7', '9']",ANSWER: C
k10315,"Question: What is the output of this progarm?
    #include<stdio.h>    #include<unistd.h>     int main()    {        pid_t child;        int a, b;        a = 10;        b = 20;        child = fork();        a = a + b;        if(child > 0){            printf(""%d\n"",a);        }         return 0;    }
['10', '30', '50', 'none of the mentioned']

Answer: ","['10', '30', '50', 'none of the mentioned']",ANSWER: B
k10322,"Question: Which one of the following is not true about this program?
   #include<stdio.h>   #include<signal.h>    void response (int);   void response (int signo)   {       printf(""%s\n"",sys_siglist[signo]);       signal(SIGSEGV,SIG_IGN);   }   int main()   {       signal (SIGSEGV,response);       char *str;       *str = 10;               return 0;   }
['kernel sends SIGSEGV signal to a process as segmentation fault occurs', 'in this process signal handler will execute only one time of recieving the signal SIGSEGV', 'all of the mentioned', 'none of the mentioned']

Answer: ","['kernel sends SIGSEGV signal to a process as segmentation fault occurs', 'in this process signal handler will execute only one time of recieving the signal SIGSEGV', 'all of the mentioned', 'none of the mentioned']",ANSWER: D
k10324,"Question: This program will print
   #include<stdio.h>   #include<signal.h>   #include<unistd.h>    void response (int);   void response (int sig_no)   {       printf(""%s is working\n"",sys_siglist[sig_no]);   }   int main()   {       alarm(5);       sleep(50);       printf(""Sanfoundry\n"");               signal(SIGALRM,response);       return 0;   }
['“Sanfoundry”', '“Alarm clock”', 'nothing', 'none of the mentioned']

Answer: ","['“Sanfoundry”', '“Alarm clock”', 'nothing', 'none of the mentioned']",ANSWER: B
k10326,"Question: This program will print the
   #include<stdio.h>   #include<unistd.h>    int main()   {       long int value;       value = sysconf(_SC_CHILD_MAX);       printf(""%ld\n"",value);       return 0;   }
['maximum number of simultaneous processes per user id', 'maximum number of child processes of the current process', 'minimum number of simultaneous processes per user id', 'none of the mentioned']

Answer: ","['maximum number of simultaneous processes per user id', 'maximum number of child processes of the current process', 'minimum number of simultaneous processes per user id', 'none of the mentioned']",ANSWER: A
k10332,"Question: The hard limit of the file descriptors that can be opened by this process will become
   #include<stdio.h>   #include<sys/time.h>   #include<sys/resource.h>    int main()   {       struct rlimit limit;       limit.rlim_cur = 10;       limit.rlim_max = 20;       if(setrlimit(RLIMIT_NOFILE,&limit) != 0)           perror(""setrlimit"");       if(getrlimit(RLIMIT_NOFILE,&limit) != 0)           perror(""getrlimit"");       printf(""%lu\n"",limit.rlim_cur);       printf(""%lu\n"",limit.rlim_max);       return 0;   }
['10', '20', 'permisssion denied', 'none of the mentioned']

Answer: ","['10', '20', 'permisssion denied', 'none of the mentioned']",ANSWER: B
k10333,"Question: What is the output of this program?
   #include<stdio.h>   #include<sys/time.h>   #include<sys/resource.h>    int main()   {       struct rlimit limit;       limit.rlim_cur = 10;       if(setrlimit(RLIMIT_NOFILE,&limit) != 0)           perror(""setrlimit"");       return 0;   }
['the soft limit of the file decriptors that can be opened by this process will become 10', 'the hard limit of the file decriptors that can be opened by this process will become 10', 'permission denied', 'none of the mentioned']

Answer: ","['the soft limit of the file decriptors that can be opened by this process will become 10', 'the hard limit of the file decriptors that can be opened by this process will become 10', 'permission denied', 'none of the mentioned']",ANSWER: C
k10335,"Question: What is the output of this program?
    #include<stdio.h>    #include<sys/time.h>    #include<sys/resource.h>     int main()    {        struct rlimit limit;        if(getrlimit(RLIMIT_DATA,&limit) != 0)            perror(""getrlimit"");        printf(""%lu\n"",limit.rlim_max);        return 0;    }
['maximum size of data segment of this process in bytes', 'maximum size of total available storage for this process in bytes', 'segmentaion fault', 'none of the mentioned']

Answer: ","['maximum size of data segment of this process in bytes', 'maximum size of total available storage for this process in bytes', 'segmentaion fault', 'none of the mentioned']",ANSWER: B
k10337,"Question: What is the output of this program?
   #include<stdio.h>   #include<pthread.h>    void *fun_t(void *arg);   void *fun_t(void *arg)   {       int ret;       ret = pthread_exit(""Bye"");       printf(""%d\n"",ret);   }   int main()   {       pthread_t pt;       void *res_t;       if(pthread_create(&pt,NULL,fun_t,NULL) != 0)           perror(""pthread_create"");       if(pthread_join(pt,&res_t) != 0)           perror(""pthread_join"");       return 0;   }
['0', '1', '-1', 'none of the mentioned']

Answer: ","['0', '1', '-1', 'none of the mentioned']",ANSWER: D
